unit_id,source_row,speaker,time,value,stance,strength,presence,attained,constrained,signed,korean_text,english_text
row004_claim01,4,정의당,00:50,Security: societal,constraint,0.7168251131040687,0.7559234499931335,0.025861291214823723,0.9741386771202087,-0.7168251131040687,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence."
row004_claim01,4,정의당,00:50,Universalism: nature,constraint,0.29099353628796787,0.3159889578819275,0.03955112025141716,0.9604489207267761,-0.29099353628796787,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence."
row004_claim02,4,정의당,00:50,Security: societal,support,0.6039563469830695,0.7087553143501282,0.9260683059692383,0.07393170148134232,0.6039563469830695,"정부는 초강력 행정통합을 해답으로 내놓고 있지만 우리는 본질적인 질문을 던져야 합니다.
행정구역만 합친다고 지방이 정말 잘 살 만한 곳으로 바뀔까요?","The government is presenting super-strong administrative consolidation as the answer, but we must ask the fundamental question.
Will simply combining administrative districts really turn local areas into places where people can prosper?"
row004_claim03,4,정의당,00:50,Stimulation,support,0.6130501159135349,0.6317495107650757,0.9852002859115601,0.01479966752231121,0.6130501159135349,지방을 살리기 위해서는 다음의 조건이 필수적입니다.,"To revitalize local areas, the following conditions are essential."
row004_claim04,4,정의당,00:50,Universalism: concern,support,0.7746349224084017,0.837124764919281,0.962675929069519,0.03732411190867424,0.7746349224084017,"첫째, 국가가 지역 간 격차를 줄이는 컨트롤타워 역할을 끝까지 수행해야 합니다.
단순히 합치는 것이 아니라 균형을 맞추는 것이 핵심입니다.","First, the state must carry through to the end its role as the control tower for reducing disparities between regions.  
The key is not simply to merge them, but to achieve balance."
row004_claim06,4,정의당,00:50,Self-direction: action,support,0.8239443253268348,0.8611827492713928,0.978379487991333,0.021620512008666992,0.8239443253268348,"셋째, 실질적 자치를 뒷받침하는 연방제 수준의 재정 입법권 이양과 읍면동 단위까지 주민 결정권을 보장하는 헌법 개정이 반드시 필요합니다.","Third, a constitutional amendment is absolutely necessary that transfers fiscal and legislative powers at a federal level, which support substantive autonomy, and that guarantees residents’ decision-making rights down to the eup, myeon, and dong unit."
row004_claim07,4,정의당,00:50,Universalism: concern,support,0.8502837175082394,0.9619175791740417,0.9419732689857483,0.05802672728896141,0.8502837175082394,"넷째, 분권이 규제 완화 경쟁으로 변질되어서는 안 됩니다.
노동권과 환경권, 의료, 공공성 같은 국민의 기본권은 전국 어디서나 차별 없이 균등하게 보장되어야 합니다.","Fourth, decentralization must not be turned into a competition for deregulation.
Basic rights of the people, such as labor rights, environmental rights, medical care, and publicness, must be equally guaranteed without discrimination anywhere in the country."
row005_claim01,5,정의당,02:03,Conformity: rules,constraint,0.2302078715218805,0.7495914697647095,0.3464444577693939,0.6535555720329285,-0.2302078715218805,"마지막으로 모든 통합 과정은 주민 투표를 통한 민주적 수기 절차를 반드시 거쳐야 합니다.
지금 진행되고 있는 행정통합은 사실상 지역의 민주주의를 위배하고 있는 것입니다.","Lastly, all integration processes must necessarily go through a democratic manual procedure through a residents’ referendum.
The administrative integration now underway is, in fact, violating local democracy."
row007_claim02,7,민주당,02:25,Stimulation,support,0.9247519102748404,0.9549875855445862,0.984169602394104,0.015830406919121742,0.9247519102748404,변화는 이미 시작되었습니다. 말만 있던 어 해수부의 부산 이전을 지난해 이미 완료했습니다.,"The change has already begun. We already completed last year the relocation of the Ministry of Oceans and Fisheries to Busan, which had only been talked about."
row007_claim03,7,민주당,02:25,Power: resources,support,0.9010362519029846,0.9165327548980713,0.991546094417572,0.008453840389847755,0.9010362519029846,"또한 부산, 강원, 전북 제주 특별법 등 지방 주도 성장을 선도할 법안들이 아 곧 국회 통과를 앞두고 있습니다.","In addition, bills that will lead region-led growth, such as the special acts for Busan, Gangwon, Jeonbuk, and Jeju, are soon on the verge of passing the National Assembly."
row007_claim04,7,민주당,02:25,Power: resources,support,0.3313824401332629,0.3356858491897583,0.9935901165008545,0.006409867666661739,0.3313824401332629,지방에 실질적인 성장 동력을 불어넣기 위해 5급 3특 체제로의 행정통합도 추진되고 있습니다.,"Administrative consolidation into a 5th-grade, 3-special-case system is also being 추진ed in order to inject substantive growth momentum into the regions."
