unit_id,speaker,time,korean_text,english_text,top_signed_support,top_signed_constraint,x,y,cluster_id
row004_claim01,정의당,00:50,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Face:-0.000; Humility:-0.000; Conformity: rules:-0.000; Conformity: interpersonal:-0.000; Self-direction: thought:-0.000,Security: societal:0.717; Universalism: nature:0.291; Security: personal:0.003; Universalism: concern:0.003; Tradition:0.002,-0.23340585267132968,0.31542057191416584,0
row004_claim02,정의당,00:50,"정부는 초강력 행정통합을 해답으로 내놓고 있지만 우리는 본질적인 질문을 던져야 합니다.
행정구역만 합친다고 지방이 정말 잘 살 만한 곳으로 바뀔까요?","The government is presenting super-strong administrative consolidation as the answer, but we must ask the fundamental question.
Will simply combining administrative districts really turn local areas into places where people can prosper?",Security: societal:0.604; Power: resources:0.098; Achievement:0.093; Stimulation:0.068; Universalism: concern:0.005,Conformity: interpersonal:-0.000; Universalism: nature:-0.000; Humility:-0.000; Universalism: tolerance:-0.000; Hedonism:-0.000,0.05725803086103894,-0.2608412426368845,1
row004_claim03,정의당,00:50,지방을 살리기 위해서는 다음의 조건이 필수적입니다.,"To revitalize local areas, the following conditions are essential.",Stimulation:0.613; Security: societal:0.123; Self-direction: action:0.049; Benevolence: caring:0.014; Self-direction: thought:0.012,Humility:-0.000; Face:-0.000; Security: personal:-0.000; Power: dominance:-0.000; Universalism: tolerance:-0.000,-0.1481385760888479,-0.23443330486689734,1
row004_claim04,정의당,00:50,"첫째, 국가가 지역 간 격차를 줄이는 컨트롤타워 역할을 끝까지 수행해야 합니다.
단순히 합치는 것이 아니라 균형을 맞추는 것이 핵심입니다.","First, the state must carry through to the end its role as the control tower for reducing disparities between regions.  
The key is not simply to merge them, but to achieve balance.",Universalism: concern:0.775; Universalism: tolerance:0.063; Power: dominance:0.046; Security: societal:0.025; Self-direction: action:0.010,Security: personal:-0.000; Hedonism:-0.000; Universalism: nature:-0.000; Humility:-0.000; Benevolence: caring:-0.001,0.6616022376018812,-0.14753490106146602,1
row004_claim05,정의당,00:50,"둘째, 지역의 부가 수도권으로 유출되는 구조를 바꿔야 합니다.
지역 본사제를 도입하고 지역 공공은행을 설립하여 지역 순환 경제를 만들어 내야 합니다.","Second, we must change the structure in which the region’s added value flows out to the capital region.  
We should introduce a regional headquarters system and establish regional public banks to create a regional circular economy.",Power: resources:0.019; Stimulation:0.010; Self-direction: action:0.008; Security: societal:0.002; Conformity: rules:0.002,Humility:-0.000; Universalism: tolerance:-0.000; Hedonism:-0.000; Face:-0.000; Security: personal:-0.000,-0.05050996775404759,0.022330732445431756,1
row004_claim06,정의당,00:50,"셋째, 실질적 자치를 뒷받침하는 연방제 수준의 재정 입법권 이양과 읍면동 단위까지 주민 결정권을 보장하는 헌법 개정이 반드시 필요합니다.","Third, a constitutional amendment is absolutely necessary that transfers fiscal and legislative powers at a federal level, which support substantive autonomy, and that guarantees residents’ decision-making rights down to the eup, myeon, and dong unit.",Self-direction: action:0.824; Conformity: rules:0.075; Power: dominance:0.044; Self-direction: thought:0.024; Universalism: concern:0.011,Face:-0.000; Humility:-0.000; Hedonism:-0.000; Achievement:-0.000; Universalism: nature:-0.001,0.09660315570050515,0.5559882037132517,3
row004_claim07,정의당,00:50,"넷째, 분권이 규제 완화 경쟁으로 변질되어서는 안 됩니다.
노동권과 환경권, 의료, 공공성 같은 국민의 기본권은 전국 어디서나 차별 없이 균등하게 보장되어야 합니다.","Fourth, decentralization must not be turned into a competition for deregulation.
Basic rights of the people, such as labor rights, environmental rights, medical care, and publicness, must be equally guaranteed without discrimination anywhere in the country.",Universalism: concern:0.850; Self-direction: action:0.058; Conformity: rules:0.039; Power: dominance:0.008; Security: societal:0.005,Face:-0.000; Hedonism:-0.000; Humility:-0.000; Tradition:-0.000; Conformity: interpersonal:-0.001,0.7289502634191621,-0.1228208294791292,1
row005_claim01,정의당,02:03,"마지막으로 모든 통합 과정은 주민 투표를 통한 민주적 수기 절차를 반드시 거쳐야 합니다.
지금 진행되고 있는 행정통합은 사실상 지역의 민주주의를 위배하고 있는 것입니다.","Lastly, all integration processes must necessarily go through a democratic manual procedure through a residents’ referendum.
The administrative integration now underway is, in fact, violating local democracy.",Power: resources:-0.000; Universalism: nature:-0.000; Hedonism:-0.000; Humility:-0.000; Face:-0.000,Conformity: rules:0.230; Universalism: concern:0.114; Conformity: interpersonal:0.002; Tradition:0.001; Universalism: tolerance:0.001,-0.16760335283885938,0.04180074775730966,1
row007_claim01,민주당,02:25,이재명 정부와 더불어민주당은 수도권 중심 성장이 아닌 지방 주도 성장으로 대한민국의 재도약을 이끌어 나가겠습니다.,"The Lee Jae-myung government and the Democratic Party of Korea will lead South Korea’s leap forward through growth driven by the regions, not growth centered on the Seoul metropolitan area.",Self-direction: action:0.045; Achievement:0.040; Power: dominance:0.007; Stimulation:0.003; Power: resources:0.002,Universalism: concern:-0.000; Security: personal:-0.000; Conformity: interpersonal:-0.000; Benevolence: caring:-0.000; Conformity: rules:-0.000,-0.04272349436646712,0.04985042400771728,1
row007_claim02,민주당,02:25,변화는 이미 시작되었습니다. 말만 있던 어 해수부의 부산 이전을 지난해 이미 완료했습니다.,"The change has already begun. We already completed last year the relocation of the Ministry of Oceans and Fisheries to Busan, which had only been talked about.",Stimulation:0.925; Universalism: nature:0.017; Security: societal:0.011; Power: resources:0.009; Self-direction: action:0.008,Security: personal:-0.001; Universalism: tolerance:-0.001; Benevolence: dependability:-0.001; Humility:-0.001; Tradition:-0.001,-0.25156218456786017,-0.3519501290066142,1
row007_claim03,민주당,02:25,"또한 부산, 강원, 전북 제주 특별법 등 지방 주도 성장을 선도할 법안들이 아 곧 국회 통과를 앞두고 있습니다.","In addition, bills that will lead region-led growth, such as the special acts for Busan, Gangwon, Jeonbuk, and Jeju, are soon on the verge of passing the National Assembly.",Power: resources:0.901; Security: societal:0.086; Self-direction: action:0.019; Stimulation:0.008; Self-direction: thought:0.004,Humility:-0.000; Tradition:-0.000; Benevolence: dependability:-0.000; Hedonism:-0.000; Universalism: tolerance:-0.000,-0.18439771819207296,-0.398313266157947,1
row007_claim04,민주당,02:25,지방에 실질적인 성장 동력을 불어넣기 위해 5급 3특 체제로의 행정통합도 추진되고 있습니다.,"Administrative consolidation into a 5th-grade, 3-special-case system is also being 추진ed in order to inject substantive growth momentum into the regions.",Power: resources:0.331; Achievement:0.317; Power: dominance:0.029; Self-direction: action:0.003; Security: societal:0.001,Benevolence: caring:-0.000; Hedonism:-0.000; Universalism: tolerance:-0.000; Tradition:-0.000; Universalism: concern:-0.000,-0.12327954823939978,-0.17868747524030978,1
row007_claim05,민주당,02:25,지난 3월 전남 광주 통합법이 처리되었고 오는 6월 단체장이 선출될 예정입니다.,"Last March, the integrated law for Gwangju in Jeollanam-do was processed, and the head of the local government is scheduled to be elected this coming June.",Conformity: rules:0.008; Universalism: concern:0.001; Self-direction: action:0.000; Power: dominance:0.000; Security: societal:0.000,Humility:-0.000; Hedonism:-0.000; Benevolence: dependability:-0.000; Universalism: nature:-0.000; Tradition:-0.000,-0.04546759313387976,0.03140442182475469,1
row007_claim06,민주당,02:25,"통합 특별시에는 4년간 총 20조 원의 재정 지원, 투자, 환경 보증, 광역 교통 투자 등 집중 지원이 이루어질 것입니다.","The integrated special city will receive concentrated support over four years, including a total of 20 trillion won in fiscal assistance, investment, environmental guarantees, and broad-area transportation investment.",Power: resources:0.845; Achievement:0.156; Stimulation:0.059; Universalism: nature:0.035; Benevolence: caring:0.008,Conformity: rules:-0.000; Universalism: tolerance:-0.000; Security: personal:-0.000; Tradition:-0.000; Conformity: interpersonal:-0.001,-0.21712897431689468,-0.4079185666155146,1
row008_claim01,민주당,03:33,또한 이 모든 과정을 통합 특별시가 정책을 결정하고 집행할 수 있도록 법적 행정적 위상을 보장할 것입니다.,"In addition, it will ensure the legal and administrative status so that the integrated special city can decide and implement all these processes.",Conformity: rules:0.469; Self-direction: action:0.372; Power: dominance:0.081; Universalism: concern:0.009; Power: resources:0.003,Hedonism:-0.000; Humility:-0.000; Universalism: nature:-0.000; Face:-0.000; Security: personal:-0.000,0.0633294084808742,0.293140825449116,3
row008_claim02,민주당,03:33,"이재명 정부는 합니다. 출범 7개월 만에 코스피 5천 원 시대를 열었고, 그 실력 그대로 지방 주도 성장을 완성해 나가겠습니다.","The Lee Jae-myung government will do it. Within seven months of its inauguration, it opened the KOSPI 5,000 era, and with that same capability, it will go on to complete region-led growth.",Achievement:0.958; Self-direction: action:0.040; Power: resources:0.026; Stimulation:0.012; Power: dominance:0.004,Security: personal:-0.000; Conformity: rules:-0.000; Security: societal:-0.000; Conformity: interpersonal:-0.000; Universalism: tolerance:-0.001,-0.11408411932468124,-0.14506904937448864,1
row008_claim03,민주당,03:33,전국 어디서나 다 잘 살 수 있는 민주당과 이재명 정부가 책임지고 해 나가겠습니다.,The Democratic Party and the Lee Jae-myung government will take responsibility and carry this out so that people can live well anywhere in the country.,Universalism: concern:0.929; Security: societal:0.153; Power: dominance:0.076; Conformity: rules:0.033; Benevolence: dependability:0.025,Universalism: nature:-0.000; Hedonism:-0.000; Humility:-0.001; Tradition:-0.001; Stimulation:-0.001,0.8370701819585727,-0.2167680138868901,1
row010_claim01,개혁신당,04:01,아 선거철이 돌아올 때마다 지도 위의 선이 다시 그려집니다.,"Ah, every time election season comes around, the lines on the map are drawn again.",Power: dominance:0.006; Security: societal:0.002; Achievement:0.002; Stimulation:0.002; Power: resources:0.001,Security: personal:-0.000; Conformity: interpersonal:-0.000; Benevolence: caring:-0.000; Universalism: tolerance:-0.000; Humility:-0.000,-0.04587247570317212,0.029121619033102175,1
row010_claim02,개혁신당,04:01,"목련이 피는 봄이 오면 김포는 서울이 된다던 그 약속 기억하십니까?
봄도 왔고 목련도 피웠습니다. 그러나 그 약속은 선고와 함께 사라졌습니다.","Do you remember that promise that when spring, when the magnolias bloomed, Gimpo would become Seoul?
Spring has come, and the magnolias have bloomed. However, that promise disappeared along with the ruling.",Self-direction: thought:0.000; Universalism: tolerance:-0.000; Self-direction: action:-0.000; Security: personal:-0.001; Power: dominance:-0.001,Stimulation:0.056; Benevolence: caring:0.053; Benevolence: dependability:0.048; Conformity: rules:0.048; Achievement:0.035,-0.038148961414838624,0.05914283562192034,1
row010_claim03,개혁신당,04:01,이번 민주당의 행정구역 개편도 다르지 않습니다.,This Democratic Party’s administrative district reorganization is no different.,Universalism: concern:0.000; Security: societal:0.000; Self-direction: action:0.000; Achievement:0.000; Conformity: rules:0.000,Hedonism:-0.000; Face:-0.000; Humility:-0.000; Security: personal:-0.000; Tradition:-0.000,-0.04669932771826959,0.03087590348412764,1
row010_claim04,개혁신당,04:01,"모두에게 특별이라는 타이틀은 붙였지만 결국 아무도 특별해지지 않았습니다.
행정 혼란만 가중했을 뿐 어떤 정책 철학도 시민이 체감할 실익도 없습니다.","Although everyone was given the title of “special,” in the end no one became special.
It only increased administrative confusion, and there is neither any policy philosophy nor any tangible benefit that citizens can feel.",Tradition:-0.000; Universalism: nature:-0.000; Self-direction: action:-0.000; Security: societal:-0.000; Hedonism:-0.000,Universalism: concern:0.082; Universalism: tolerance:0.035; Achievement:0.022; Conformity: interpersonal:0.007; Benevolence: caring:0.006,-0.11898319229210122,0.05570137837960626,1
row010_claim05,개혁신당,04:01,더 근본적인 문제를 직시해야 합니다. 서울의 기능을 옥죄고 강제로 이전하면 지방이 살아난다는 환상 이것을 끝내야 합니다.,"We need to confront the more fundamental problem. We must end the illusion that if we strangle Seoul’s functions and forcibly relocate them, the provinces will come back to life.",Self-direction: action:0.712; Security: societal:0.151; Stimulation:0.021; Conformity: rules:0.012; Self-direction: thought:0.005,Humility:-0.000; Face:-0.000; Universalism: nature:-0.000; Universalism: tolerance:-0.000; Hedonism:-0.001,0.08976535990282505,0.42268823411027007,3
row010_claim06,개혁신당,04:01,"지금 혁신도시들이 어떻습니까? 지방에는 반쪽짜리 도시만 생겼고 서울은 성장 동력만 잃었습니다.
지역 균형 발전이라는 이름으로 국가 전체가 하향 평준화된 것입니다.","What are innovation cities like now? In the provinces, only half-finished cities have been created, and Seoul has lost only its growth engine. Under the name of balanced regional development, the entire country has been leveled downward.",Security: personal:-0.000; Tradition:-0.000; Conformity: interpersonal:-0.000; Universalism: tolerance:-0.000; Hedonism:-0.000,Power: resources:0.533; Achievement:0.387; Stimulation:0.110; Self-direction: action:0.015; Power: dominance:0.013,0.08708539391902773,0.3866599171584593,3
row011_claim01,개혁신당,04:54,"서울은 대한민국 경제의 심장으로서 제 기능을 다하게 하고 동시에 전국 각 지역이 고유한 산업 생태계로 자립하는 구조를 만드는 것, 그리고 행정구역의 선을 바꾸는 것이 아니라 산업과 재정의 구조를 바꾸는 것 이것이 진정한 균형 발전의 정책입니다.","Making Seoul function fully as the heart of the Republic of Korea’s economy, and at the same time creating a structure in which each region across the country becomes self-reliant as its own unique industrial ecosystem, and changing the structure of industry and finance rather than changing the lines of administrative districts—this is the policy of true balanced development.",Self-direction: action:0.455; Power: resources:0.436; Stimulation:0.329; Self-direction: thought:0.323; Universalism: concern:0.093,Security: personal:-0.004; Face:-0.004; Hedonism:-0.005; Humility:-0.006; Power: dominance:-0.008,-0.01959738891550411,-0.0546040140441504,1
row011_claim02,개혁신당,04:54,"지도를 다시 다시 그리는 것, 이것은 정치입니다.
그러나 삶을 다시 설계하는 것 그것이 정책입니다.
개혁신당은 정치가 아닌 정책으로 이 나라의 미래를 말하도록 하겠습니다.","Redrawing the map again and again, this is politics.  
But redesigning life—that is policy.  
The New Reform Party will speak about this country’s future through policy, not politics.",Stimulation:0.454; Self-direction: action:0.094; Self-direction: thought:0.021; Achievement:0.010; Power: dominance:0.005,Benevolence: caring:-0.000; Security: personal:-0.000; Benevolence: dependability:-0.000; Universalism: tolerance:-0.000; Conformity: interpersonal:-0.001,-0.13510737129296582,-0.09560484153415558,1
row013_claim01,국민의힘,05:30,"국가 균형 발전을 위한 지방자치 제도가 시작된 지가 30년이 지났습니다.
그러나 수도권 일극 체제는 고착되고 불평등과 불균형은 더욱 심화되고 있습니다.
지방 정부에 대한 실질적인 권한 이용이 없었기 때문입니다.
지방자치가 제대로 작동하여 경쟁력을 갖추려면 중앙 정부의 행정 재정 조세 인허가 권한을 지방 정부에 과감하게 이행해야 합니다.","It has been 30 years since the local autonomy system for balanced national development began.  
However, the one-pole system centered on the Seoul metropolitan area has become entrenched, and inequality and imbalance are deepening further.  
This is because there has been no substantial delegation of authority to local governments.  
For local autonomy to function properly and become competitive, the central government's administrative, fiscal, tax, and licensing-permit authorities must be boldly transferred to local governments.",Hedonism:-0.002; Humility:-0.002; Universalism: nature:-0.003; Security: personal:-0.006; Power: resources:-0.007,Universalism: concern:0.577; Power: dominance:0.393; Self-direction: action:0.161; Security: societal:0.109; Conformity: rules:0.094,-0.6692890464457438,0.10288186864043669,2
row013_claim02,국민의힘,05:30,"그런데 지난 1월 16일 김민석 총리가 발표한 행정통합 방안을 보면 실망스럽습니다.
차관급 4명과 1급 보직 연간 5조 원 규모의 재정 지원, 공공기관 이전과 같은 유인책만 제시하며 행정 조세 인허가 등 조항 권한 이양에 대한 핵심은 빠져 있습니다.
이런 통합은 재정 지원 중심 정책에 머물 수밖에 없습니다.","However, if you look at the administrative integration plan announced by Prime Minister Kim Min-seok on January 16, it is disappointing.  
It only presents incentives such as four vice-minister-level positions, 1st-grade posts, 5 trillion won in annual financial support, and relocation of public institutions, while leaving out the core issue of transferring authority over provisions such as administration, taxation, and permits.  
Such integration can only remain a policy centered on financial support.",Power: resources:0.255; Stimulation:0.064; Power: dominance:0.037; Benevolence: caring:0.030; Benevolence: dependability:0.018,Universalism: concern:0.001; Face:0.000; Universalism: tolerance:0.000; Tradition:-0.000; Security: personal:-0.000,-0.10057633438785886,-0.10736369949884228,1
row013_claim03,국민의힘,05:30,"특히 선거를 앞둔 시점에서 추진되어 국민들은 포퓰리즘 정책이라고 의구심을 가질 수밖에 없습니다.
지방분권을 통한 지역 통합은 국가의 백년지대계입니다.
그래서 우리 국민의힘 입장은 명확합니다. 행정통합하려면 제대로 해야 합니다.","Especially at a time approaching an election, the public cannot help but suspect that it is a populist policy.
Regional integration through decentralization is a hundred-year national plan.
So our People Power Party’s position is clear. If administrative integration is to be carried out, it must be done properly.",Self-direction: thought:0.182; Universalism: tolerance:0.049; Universalism: concern:0.045; Conformity: interpersonal:0.030; Face:0.018,Universalism: nature:-0.000; Achievement:-0.000; Power: resources:-0.000; Security: personal:-0.000; Hedonism:-0.001,0.0003697647775188899,0.028207544514153103,1
row014_claim01,국민의힘,06:43,"먼저 중앙정부가 지방 정부의 협의체를 구성해 권한 이양 범위를 명확히 해야 합니다.
이후 법제화 단계에서 충분한 의견 수렴 절차를 통해 지역의 현실을 반영하고 국민 공감대를 넓혀야 합니다.","First, the central government should form a consultative body with local governments to clearly define the scope of authority transfer.  
After that, at the stage of legislation, sufficient opinion-gathering procedures should be used to reflect local realities and broaden public consensus.",Benevolence: dependability:0.387; Conformity: interpersonal:0.170; Power: dominance:0.080; Self-direction: thought:0.055; Self-direction: action:0.020,Achievement:-0.000; Security: personal:-0.000; Hedonism:-0.000; Universalism: nature:-0.000; Tradition:-0.001,-0.018643458792155718,0.03640571119672477,1
