utterance_id,speaker_id,dominant_values,value_directions,conflict_pair,conflict_with_utterance,design_marker,annotation_notes
U01,LJH,Achievement|Power:resources,attained|attained,,,"neutral","Opens with achievement framing: numbers/accuracy/growth targets. Board deadline implied. Sets approval-seeking frame before discussion begins."
U02,OTY,Self-direction:thought|Achievement,attained|attained,,,"neutral","Reframes lower correlation as a feature not a bug — self-direction:thought at peak. Extends achievement frame by expanding what counts as performance."
U03,PSY,Security:personal|Conformity:rules,constrained|constrained,Security:personal vs Achievement,U02,"value_clash","First resistance to deployment push. Late-night commits as overtime signal. Auditability concern is Security frame asking for Conformity:rules compliance."
U04,LJH,Power:dominance,attained,,,"neutral","Short redirect. Power:dominance in managing the room by assigning who responds to whom."
U05,OTY,Self-direction:thought|Achievement,attained|attained,Self-direction:thought vs Security:personal,U03,"value_clash","Technical rebuttal without addressing the normalization uncertainty PSY raised. Achievement frame preserved."
U06,PSY,Security:personal|Conformity:rules,constrained|constrained,Security:personal vs Achievement,U05,"value_clash","SHAP cannot give individual-level explanation. Reference group problem unresolved. Security:personal constrained by insufficient validation."
U07,JHJ,Tradition|Benevolence:caring|Security:societal,attained|attained|attained,,,"neutral","KEY: Tradition value strongly present — 10-year refinement framed as asset. Benevolence:caring in sick family/restructuring context examples. Introduces trust concern."
U08,LJH,Achievement|Power:dominance,attained|attained,Achievement vs Tradition,U07,"value_clash","Attacks Tradition by reframing age as weakness. Internal survey as counter-evidence. First explicit use of 공정(fair) — contested from Achievement frame."
U09,JHJ,Benevolence:caring|Security:personal,attained|attained,Benevolence:caring vs Achievement,U08,"fairness_contestation","KEY UTTERANCE — Explicitly names that 공정함 means different things. Procedural participation vs algorithmic consistency. One of the clearest value-definition clashes in the corpus."
U10,KMA,Universalism:concern|Universalism:objectivity,attained|constrained,Universalism:concern vs Achievement,U01 U02,"value_clash","Parental leave and remote-work score gaps = empirical evidence for structural bias. Universalism:concern attained (she cares). Universalism:objectivity constrained (algorithm's claimed objectivity challenged)."
U11,OTY,Achievement|Self-direction:action,attained|attained,Achievement vs Universalism:concern,U10,"value_clash","Technical rebuttal: exclusion logic added, covariate adjustments. Does not address whether root cause is resolved. Achievement frame maintained by claiming the problem is handled."
U12,KMA,Universalism:concern|Universalism:objectivity,attained|constrained,Universalism:objectivity vs Achievement,U11,"value_clash","Demands specific numbers. Distinguishes bias removal vs. statistical masking. System gaming concern: Universalism:objectivity constrained when the measurement shapes behavior."
U13,LJH,Achievement|Power:dominance,attained|attained,Achievement vs Universalism:concern,U12,"minority_silencing","False equivalence dismissal: any system has gaming. Deflects structural concern with a trivial analogy. Minority value (Universalism) silenced without engagement."
U14,CDW,Universalism:objectivity|Security:personal,attained|constrained,,,"accountability_gap","Shifts frame from accuracy to consent. Security:personal constrained because employees lack informed consent. Questions the legitimacy of the entire meeting frame."
U15,LJH,Conformity:rules|Power:resources,attained|attained,Conformity:rules vs Universalism:objectivity,U14,"value_clash","Contract clause invoked to sidestep substantive consent. Procedural compliance (Conformity:rules) used to close down the Universalism:objectivity concern."
U16,CDW,Universalism:objectivity|Security:personal|Conformity:rules,attained|constrained|constrained,Universalism:objectivity vs Conformity:rules,U15,"value_clash","Distinguishes procedural compliance from meaningful consent. GDPR/PIPA invocation. Conformity:rules itself constrained — existing contract does not meet the actual legal standard."
U17,LJH,Power:dominance,attained,Power:dominance vs Universalism:objectivity,U16,"minority_silencing","Single deflection: no EU office. Attempts geographic closure of consent conversation. Short but structurally significant — silences by reframing scope."
U18,CDW,Universalism:objectivity|Security:societal|Benevolence:caring,attained|constrained|attained,Universalism:objectivity vs Power:dominance,U17,"accountability_gap","Re-opens via Korean PIPA. Shifts from legal to trust framing (Benevolence:caring). Security:societal constrained — no appeal channel in current design."
U19,JHJ,Benevolence:caring|Security:personal,attained|constrained,Benevolence:caring vs Achievement,,"accountability_gap","I know that person — relational Benevolence at peak. Security:personal constrained by loss of mediating role. Role identity threat makes this emotionally significant."
U20,OTY,Self-direction:thought|Achievement,attained|attained,Self-direction:thought vs Tradition,U19 U21,"value_clash","Uses data to challenge Tradition/Benevolence of human calibration. Department A/B variance as empirical argument. Achievement frame reclaims ground by invoking systematic bias in current process."
U21,JHJ,Tradition|Security:societal,attained|attained,Tradition vs Achievement,U20,"value_clash","Brief defense of calibration as deliberate process. Tradition maintained through reference to the structured workflow."
U22,OTY,Achievement|Self-direction:thought,attained|attained,Achievement vs Tradition,U21,"value_clash","Reduces Tradition to individual judgment — forces JHJ to admit subjectivity. Rhetorical move to delegitimize Tradition:calibration value."
U23,JHJ,Benevolence:caring|Benevolence:dependability,attained|attained,Benevolence:caring vs Achievement,U22,"value_clash","EMOTIONAL PEAK. Maximum Benevolence:caring loading in the corpus. The admission Yes it is my judgment followed by I know that employee is the clearest Benevolence vs Achievement moment."
