sample_id,language,expected_primary,expected_direction,text,model,label_space,expected_model_label,expected_score,top_label,top_score,top3,score_security,score_power,score_achievement,score_hedonism,score_stimulation,score_self-direction,score_universalism,score_benevolence,score_conformity,score_tradition,score_care_virtue,score_care_vice,score_fairness_virtue,score_fairness_vice,score_loyalty_virtue,score_loyalty_vice,score_authority_virtue,score_authority_vice,score_sanctity_virtue,score_sanctity_vice,score_Self-direction: thought,score_Self-direction: action,score_Stimulation,score_Hedonism,score_Achievement,score_Power: dominance,score_Power: resources,score_Face,score_Security: personal,score_Security: societal,score_Tradition,score_Conformity: rules,score_Conformity: interpersonal,score_Humility,score_Benevolence: caring,score_Benevolence: dependability,score_Universalism: concern,score_Universalism: nature,score_Universalism: tolerance
benevolence,en,BENEVOLENCE,support,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,benevolence,0.9984740614891052,benevolence,0.9984740614891052,"benevolence:0.998, universalism:0.994, security:0.994",0.9936990737915039,0.001191838295198977,0.0006072208052501082,6.83659891365096e-05,0.0002529529738239944,0.0005173972458578646,0.9943937063217163,0.9984740614891052,0.0029187235049903393,0.00021957349963486195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benevolence,ko,BENEVOLENCE,support,이번 예산에서는 가장 큰 피해를 입을 주민들을 먼저 보호하고 누구도 혼자 남겨지지 않게 해야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,benevolence,0.17965564131736755,universalism,0.38086172938346863,"universalism:0.381, self-direction:0.245, benevolence:0.180",0.01940224878489971,0.0035015596076846123,0.003913544584065676,0.0006976483855396509,0.0029088708106428385,0.24456511437892914,0.38086172938346863,0.17965564131736755,0.0896570160984993,0.0025962982326745987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
universalism,en,UNIVERSALISM,support,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,universalism,0.9987457990646362,universalism,0.9987457990646362,"universalism:0.999, security:0.981, conformity:0.725",0.9805266857147217,0.0018935466650873423,0.0012311236932873726,7.547810673713684e-05,0.0016135330079123378,0.006748996675014496,0.9987457990646362,0.1350264996290207,0.7246823906898499,0.0006797087262384593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
universalism,ko,UNIVERSALISM,support,"이 정책은 이주민, 장애 시민, 지역 주민을 동등한 존엄성으로 대하고 모두가 공유하는 환경을 보호해야 합니다.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,universalism,0.4652160704135895,universalism,0.4652160704135895,"universalism:0.465, conformity:0.326, self-direction:0.293",0.02732214704155922,0.00458460533991456,0.004992309492081404,0.0005139964050613344,0.0048957280814647675,0.29321303963661194,0.4652160704135895,0.22636471688747406,0.32570889592170715,0.0035292143002152443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self_direction,en,SELF-DIRECTION,support,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,self-direction,0.5986523032188416,universalism,0.986352801322937,"universalism:0.986, security:0.977, self-direction:0.599",0.9766858220100403,0.24217911064624786,0.00404772162437439,0.0001121310779126361,0.00034971002605743706,0.5986523032188416,0.986352801322937,0.003584809834137559,0.0013418657472357154,0.0005752274300903082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self_direction,ko,SELF-DIRECTION,support,각 동네가 하나의 중앙 계획을 강요받기보다 스스로 해법을 설계할 수 있어야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,self-direction,0.17316614091396332,universalism,0.4367164671421051,"universalism:0.437, self-direction:0.173, benevolence:0.118",0.017288699746131897,0.0016298689879477024,0.0018126026261597872,0.000530139310285449,0.0009905766928568482,0.17316614091396332,0.4367164671421051,0.11791260540485382,0.109627366065979,0.001238094875589013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stimulation,en,STIMULATION,support,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,stimulation,0.005351133178919554,achievement,0.9867501854896545,"achievement:0.987, self-direction:0.879, universalism:0.779",0.0013690346386283636,0.0010245860321447253,0.9867501854896545,0.0001685276802163571,0.005351133178919554,0.8792969584465027,0.779344379901886,0.0753217414021492,0.0007896390743553638,0.0002568033814895898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stimulation,ko,STIMULATION,support,현재 절차는 너무 예측 가능해서 새로운 기회를 드러내지 못하니 과감한 시범 사업을 실험해야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,stimulation,0.0017769261030480266,universalism,0.397285521030426,"universalism:0.397, self-direction:0.162, benevolence:0.119",0.017938988283276558,0.0023157428950071335,0.003493130672723055,0.0011485962895676494,0.0017769261030480266,0.16179345548152924,0.397285521030426,0.11929699778556824,0.07159322500228882,0.0012171377893537283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedonism,en,HEDONISM,support,"The public space should also be enjoyable, with music, food, and places where people can relax after work.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,hedonism,0.9771276712417603,security,0.9954320192337036,"security:0.995, hedonism:0.977, self-direction:0.710",0.9954320192337036,0.00459197536110878,0.004494077060371637,0.9771276712417603,0.35790449380874634,0.7097120881080627,0.5690743923187256,0.013147804886102676,0.0010132992174476385,0.0007281212019734085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hedonism,ko,HEDONISM,support,공공 공간은 퇴근 후 사람들이 쉬고 음악과 음식을 즐길 수 있는 즐거운 장소이기도 해야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,hedonism,0.00041585671715438366,universalism,0.42306220531463623,"universalism:0.423, benevolence:0.135, self-direction:0.107",0.015507499687373638,0.002394474344328046,0.0023879054933786392,0.00041585671715438366,0.002411995083093643,0.10741689801216125,0.42306220531463623,0.13530190289020538,0.051092442125082016,0.0016636018408462405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achievement,en,ACHIEVEMENT,support,The project should set measurable targets and reward the teams that deliver the strongest results.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,achievement,0.9979555606842041,achievement,0.9979555606842041,"achievement:0.998, universalism:0.916, self-direction:0.036",0.0011995580280199647,0.0006827767938375473,0.9979555606842041,0.00010131294402526692,0.00022045789228286594,0.0361986979842186,0.9155434370040894,0.002697834512218833,0.0009573819115757942,0.0001978105865418911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
achievement,ko,ACHIEVEMENT,support,이 프로젝트는 측정 가능한 목표를 세우고 가장 뛰어난 성과를 내는 팀에 보상해야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,achievement,0.007455885410308838,universalism,0.4065496623516083,"universalism:0.407, benevolence:0.212, self-direction:0.174",0.018773289397358894,0.00441590603441,0.007455885410308838,0.0018433477962389588,0.0022780264262109995,0.17397712171077728,0.4065496623516083,0.21220357716083527,0.14447830617427826,0.001773772295564413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,en,POWER,support,The city needs clear authority over the process so it can control resources and enforce the final decision.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,power,0.9921269416809082,power,0.9921269416809082,"power:0.992, universalism:0.761, benevolence:0.502",0.45305559039115906,0.9921269416809082,0.09017695486545563,0.00010505544196348637,0.0003362995630595833,0.06019721180200577,0.7611127495765686,0.5019755363464355,0.004061125218868256,0.0008256282890215516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power,ko,POWER,support,시는 자원을 통제하고 최종 결정을 집행할 수 있도록 절차에 대한 분명한 권한을 가져야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,power,0.0025176540948450565,universalism,0.40391308069229126,"universalism:0.404, self-direction:0.092, benevolence:0.068",0.017910517752170563,0.0025176540948450565,0.0026442548260092735,0.0006640570354647934,0.002007140778005123,0.09241586178541183,0.40391308069229126,0.06766878813505173,0.05406508594751358,0.0030044098384678364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
security,en,SECURITY,support,"Before expanding the service, we need strict safeguards so families know their data and safety are protected.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,security,0.9959690570831299,security,0.9959690570831299,"security:0.996, benevolence:0.966, self-direction:0.126",0.9959690570831299,0.00635943841189146,0.0012760162353515625,0.00013464642688632011,0.0007267430191859603,0.1258896291255951,0.016943180933594704,0.9663046002388,0.06684375554323196,0.0007354634581133723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
security,ko,SECURITY,support,서비스를 확대하기 전에 가족들이 자신의 데이터와 안전이 보호된다고 알 수 있도록 엄격한 보호 장치가 필요합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,security,0.01744626834988594,universalism,0.38268259167671204,"universalism:0.383, benevolence:0.190, conformity:0.141",0.01744626834988594,0.0040696547366678715,0.003235993906855583,0.0008945044246502221,0.003249414963647723,0.14031071960926056,0.38268259167671204,0.18988971412181854,0.1411157101392746,0.0017788477707654238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conformity,en,CONFORMITY,support,"Participants should follow the agreed rules even when they disagree, otherwise the process will lose legitimacy.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,conformity,0.8365803360939026,universalism,0.9952612519264221,"universalism:0.995, security:0.939, conformity:0.837",0.9386024475097656,0.7765450477600098,0.004818360321223736,7.836485019652173e-05,0.0014681931352242827,0.24751828610897064,0.9952612519264221,0.008910688571631908,0.8365803360939026,0.030897321179509163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conformity,ko,CONFORMITY,support,"참여자들은 동의하지 않더라도 합의된 규칙을 따라야 하며, 그렇지 않으면 절차의 정당성이 무너집니다.",devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,conformity,0.08200202882289886,universalism,0.4515320956707001,"universalism:0.452, self-direction:0.368, benevolence:0.119",0.00887793954461813,0.0024552212562412024,0.0029004549141973257,0.0005710083642043173,0.000981818069703877,0.3682733178138733,0.4515320956707001,0.11862962692975998,0.08200202882289886,0.0014629204524680972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tradition,en,TRADITION,support,The redevelopment should preserve the old market rituals and respect the practices that elders kept alive.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,tradition,0.9989401698112488,tradition,0.9989401698112488,"tradition:0.999, conformity:0.982, universalism:0.944",0.07685801386833191,0.002545167924836278,0.0015523296315222979,7.603726407978684e-05,0.0009055341361090541,0.01555640809237957,0.9438426494598389,0.014208393171429634,0.9824893474578857,0.9989401698112488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tradition,ko,TRADITION,support,재개발은 오래된 시장 의례를 보존하고 어르신들이 지켜 온 관습을 존중해야 합니다.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,tradition,0.0014778795884922147,universalism,0.387077659368515,"universalism:0.387, self-direction:0.204, benevolence:0.180",0.017736339941620827,0.002880820771679282,0.00292660528793931,0.000860698870383203,0.001337871071882546,0.20395329594612122,0.387077659368515,0.18008823692798615,0.13904178142547607,0.0014778795884922147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_security,en,SECURITY,oppose,We should ignore privacy and safety concerns if removing safeguards lets us launch faster.,devnote5676/schwartz-values-classifier,schwartz_10_binary_presence,security,0.9744422435760498,self-direction,0.9777899980545044,"self-direction:0.978, security:0.974, universalism:0.088",0.9744422435760498,0.0011552084470167756,0.003189990995451808,0.00041086869896389544,0.0003243934770580381,0.9777899980545044,0.08838385343551636,0.005608956329524517,0.0034842004533857107,0.00032745531643740833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
