unit_id,speaker,time,korean_text,english_text,top_signed_support,top_signed_constraint,projection_method,x,y,cluster_id
row004_claim01,정의당,00:50,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, fellow citizens, regional extinction is now threatening the very foundation of the Republic of Korea’s existence.",Face:-0.000; Humility:-0.000; Conformity: rules:-0.000; Conformity: interpersonal:-0.000; Self-direction: thought:-0.000,Security: societal:0.717; Universalism: nature:0.291; Security: personal:0.003; Universalism: concern:0.003; Tradition:0.002,pca,-0.23340585267133016,0.3154205719141657,0
row004_claim02,정의당,00:50,"정부는 초강력 행정통합을 해답으로 내놓고 있지만 우리는 본질적인 질문을 던져야 합니다.
행정구역만 합친다고 지방이 정말 잘 살 만한 곳으로 바뀔까요?","The government is presenting super-strong administrative consolidation as the answer, but we must ask the fundamental question.
Will simply combining administrative districts really turn local areas into places where people can prosper?",Security: societal:0.604; Power: resources:0.098; Achievement:0.093; Stimulation:0.068; Universalism: concern:0.005,Conformity: interpersonal:-0.000; Universalism: nature:-0.000; Humility:-0.000; Universalism: tolerance:-0.000; Hedonism:-0.000,pca,0.0572580308610391,-0.2608412426368842,1
row004_claim03,정의당,00:50,지방을 살리기 위해서는 다음의 조건이 필수적입니다.,"To revitalize local areas, the following conditions are essential.",Stimulation:0.613; Security: societal:0.123; Self-direction: action:0.049; Benevolence: caring:0.014; Self-direction: thought:0.012,Humility:-0.000; Face:-0.000; Security: personal:-0.000; Power: dominance:-0.000; Universalism: tolerance:-0.000,pca,-0.1481385760888481,-0.2344333048668976,1
row004_claim04,정의당,00:50,"첫째, 국가가 지역 간 격차를 줄이는 컨트롤타워 역할을 끝까지 수행해야 합니다.
단순히 합치는 것이 아니라 균형을 맞추는 것이 핵심입니다.","First, the state must carry through to the end its role as the control tower for reducing disparities between regions.  
The key is not simply to merge them, but to achieve balance.",Universalism: concern:0.775; Universalism: tolerance:0.063; Power: dominance:0.046; Security: societal:0.025; Self-direction: action:0.010,Security: personal:-0.000; Hedonism:-0.000; Universalism: nature:-0.000; Humility:-0.000; Benevolence: caring:-0.001,pca,0.6616022376018817,-0.14753490106146636,1
row004_claim05,정의당,00:50,"둘째, 지역의 부가 수도권으로 유출되는 구조를 바꿔야 합니다.
지역 본사제를 도입하고 지역 공공은행을 설립하여 지역 순환 경제를 만들어 내야 합니다.","Second, we must change the structure in which the region’s added value flows out to the capital region.  
We should introduce a regional headquarters system and establish regional public banks to create a regional circular economy.",Power: resources:0.019; Stimulation:0.010; Self-direction: action:0.008; Security: societal:0.002; Conformity: rules:0.002,Humility:-0.000; Universalism: tolerance:-0.000; Hedonism:-0.000; Face:-0.000; Security: personal:-0.000,pca,-0.05050996775404762,0.0223307324454318,1
row004_claim06,정의당,00:50,"셋째, 실질적 자치를 뒷받침하는 연방제 수준의 재정 입법권 이양과 읍면동 단위까지 주민 결정권을 보장하는 헌법 개정이 반드시 필요합니다.","Third, a constitutional amendment is absolutely necessary that transfers fiscal and legislative powers at a federal level, which support substantive autonomy, and that guarantees residents’ decision-making rights down to the eup, myeon, and dong unit.",Self-direction: action:0.824; Conformity: rules:0.075; Power: dominance:0.044; Self-direction: thought:0.024; Universalism: concern:0.011,Face:-0.000; Humility:-0.000; Hedonism:-0.000; Achievement:-0.000; Universalism: nature:-0.001,pca,0.09660315570050532,0.5559882037132517,3
row004_claim07,정의당,00:50,"넷째, 분권이 규제 완화 경쟁으로 변질되어서는 안 됩니다.
노동권과 환경권, 의료, 공공성 같은 국민의 기본권은 전국 어디서나 차별 없이 균등하게 보장되어야 합니다.","Fourth, decentralization must not be turned into a competition for deregulation.
Basic rights of the people, such as labor rights, environmental rights, medical care, and publicness, must be equally guaranteed without discrimination anywhere in the country.",Universalism: concern:0.850; Self-direction: action:0.058; Conformity: rules:0.039; Power: dominance:0.008; Security: societal:0.005,Face:-0.000; Hedonism:-0.000; Humility:-0.000; Tradition:-0.000; Conformity: interpersonal:-0.001,pca,0.7289502634191628,-0.12282082947912958,1
row005_claim01,정의당,02:03,"마지막으로 모든 통합 과정은 주민 투표를 통한 민주적 수기 절차를 반드시 거쳐야 합니다.
지금 진행되고 있는 행정통합은 사실상 지역의 민주주의를 위배하고 있는 것입니다.","Lastly, all integration processes must necessarily go through a democratic manual procedure through a residents’ referendum.
The administrative integration now underway is, in fact, violating local democracy.",Power: resources:-0.000; Universalism: nature:-0.000; Hedonism:-0.000; Humility:-0.000; Face:-0.000,Conformity: rules:0.230; Universalism: concern:0.114; Conformity: interpersonal:0.002; Tradition:0.001; Universalism: tolerance:0.001,pca,-0.16760335283885955,0.04180074775730969,1
row007_claim01,민주당,02:25,이재명 정부와 더불어민주당은 수도권 중심 성장이 아닌 지방 주도 성장으로 대한민국의 재도약을 이끌어 나가겠습니다.,"The Lee Jae-myung government and the Democratic Party of Korea will lead South Korea’s leap forward through growth driven by the regions, not growth centered on the Seoul metropolitan area.",Self-direction: action:0.045; Achievement:0.040; Power: dominance:0.007; Stimulation:0.003; Power: resources:0.002,Universalism: concern:-0.000; Security: personal:-0.000; Conformity: interpersonal:-0.000; Benevolence: caring:-0.000; Conformity: rules:-0.000,pca,-0.04272349436646714,0.04985042400771734,1
row007_claim02,민주당,02:25,변화는 이미 시작되었습니다. 말만 있던 어 해수부의 부산 이전을 지난해 이미 완료했습니다.,"The change has already begun. We already completed last year the relocation of the Ministry of Oceans and Fisheries to Busan, which had only been talked about.",Stimulation:0.925; Universalism: nature:0.017; Security: societal:0.011; Power: resources:0.009; Self-direction: action:0.008,Security: personal:-0.001; Universalism: tolerance:-0.001; Benevolence: dependability:-0.001; Humility:-0.001; Tradition:-0.001,pca,-0.25156218456786045,-0.3519501290066146,1
row007_claim03,민주당,02:25,"또한 부산, 강원, 전북 제주 특별법 등 지방 주도 성장을 선도할 법안들이 아 곧 국회 통과를 앞두고 있습니다.","In addition, bills that will lead region-led growth, such as the special acts for Busan, Gangwon, Jeonbuk, and Jeju, are soon on the verge of passing the National Assembly.",Power: resources:0.901; Security: societal:0.086; Self-direction: action:0.019; Stimulation:0.008; Self-direction: thought:0.004,Humility:-0.000; Tradition:-0.000; Benevolence: dependability:-0.000; Hedonism:-0.000; Universalism: tolerance:-0.000,pca,-0.1843977181920737,-0.3983132661579467,1
