unit_id,cluster_id,speaker,time,korean_text,english_text,model_active_value,model_stance,model_strength,top_signed_support,top_signed_constraint,human_supported_values,human_constrained_values,segmentation_quality,review_notes
row046_claim03,0,민주당,21:58,"경북에 수많은 군이 3만 이하의 군이 너무 많습니다.
또 전국적으로도 지방 소멸 곧 다가오고 있습니다.","In Gyeongbuk, there are too many counties with populations below 30,000.
Also, nationwide, local extinction is approaching very soon.",Universalism: nature,constraint,0.689,Face:-0.000; Self-direction: thought:-0.000; Humility:-0.000; Stimulation:-0.000; Benevolence: caring:-0.001,Universalism: nature:0.689; Universalism: concern:0.030; Tradition:0.021; Power: dominance:0.008; Security: societal:0.008,,,,
row004_claim01,0,정의당,00:50,"네, 국민 여러분 지역 소멸은 이제 대한민국의 존립 기반을 위협받고 있습니다.","Yes, the extinction of local areas is now threatening the very basis of the Republic of Korea’s existence.",Universalism: nature,constraint,0.624,Face:-0.000; Humility:-0.000; Conformity: interpersonal:-0.000; Benevolence: dependability:-0.000; Hedonism:-0.000,Universalism: nature:0.624; Security: societal:0.263; Universalism: concern:0.004; Power: resources:0.002; Security: personal:0.002,,,,
row007_claim02,0,민주당,02:25,아 이와 같은 현상은 지역에는 소멸의 공포를 가져오고 수도권에는 과일의 고통을 가중시키고 있습니다.,"Ah, such a phenomenon brings the fear of extinction to the regions and intensifies the pain of the metropolitan area.",Universalism: nature,constraint,0.415,Face:-0.000; Humility:-0.000; Conformity: interpersonal:-0.000; Self-direction: thought:-0.000; Benevolence: dependability:-0.000,Universalism: nature:0.415; Security: societal:0.226; Universalism: concern:0.008; Hedonism:0.003; Stimulation:0.003,,,,
row102_claim01,1,국민의힘,54:15,국민 여러분 6천여 킬로미터 떨어진 중동에서의 전쟁이 우리의 경제와 국민의 안전에 심각한 영향을 미치고 있습니다.,"The war in the Middle East, 6,000 kilometers away from our people, is seriously affecting our economy and the safety of our people.",Security: societal,constraint,0.943,Humility:-0.000; Universalism: tolerance:-0.001; Conformity: interpersonal:-0.001; Power: dominance:-0.001; Universalism: nature:-0.001,Security: societal:0.943; Power: resources:0.052; Security: personal:0.007; Benevolence: caring:0.005; Stimulation:0.003,,,,
row106_claim02,1,정의당,56:04,유가 급등은 생필품 가격 상승으로 이어지고 고용을 위협하고 있습니다.,The surge in oil prices is leading to increases in the prices of basic necessities and is threatening employment.,Security: societal,constraint,0.942,Humility:-0.000; Universalism: nature:-0.000; Universalism: tolerance:-0.000; Tradition:-0.000; Hedonism:-0.001,Security: societal:0.942; Power: resources:0.199; Security: personal:0.004; Achievement:0.003; Benevolence: caring:0.002,,,,
row102_claim02,1,국민의힘,54:15,현재 호르무즈 해협에는 우리 함선 26척과 국민 179명이 있으며 유가 불안뿐만 아니라 환율 주가 급등락으로 민생은 많은 어려움에 봉착해 있습니다.,"At present, there are 26 of our vessels and 179 nationals in the Strait of Hormuz, and, not only due to oil price instability, but also because of sharp fluctuations in exchange rates and stock prices, people’s livelihoods are facing many difficulties.",Security: societal,constraint,0.926,Humility:-0.000; Power: dominance:-0.000; Self-direction: thought:-0.000; Face:-0.000; Tradition:-0.000,Security: societal:0.926; Power: resources:0.010; Security: personal:0.003; Conformity: rules:0.003; Universalism: concern:0.002,,,,
row034_claim03,1,정의당,16:03,우리 아리셀 함사 화재 참사 보고 있지 않습니까? 또 얼마 전에 대전의 안전공업에서 지금 14명이나 죽는 화재 참사가 발생했어요.,"Are we not seeing the Aricel Hamsa fire disaster? And not long ago, at Safety Industry in Daejeon, a fire disaster occurred in which as many as 14 people have now died.",Security: societal,constraint,0.899,Self-direction: thought:-0.000; Power: dominance:-0.000; Self-direction: action:-0.000; Humility:-0.000; Universalism: nature:-0.000,Security: societal:0.899; Security: personal:0.013; Power: resources:0.002; Universalism: concern:0.002; Conformity: rules:0.001,,,,
row106_claim01,1,정의당,56:04,트럼프가 일으킨 침략 전쟁이 한국의 노동자 서민에게 직격탄을 날리고 있습니다.,The aggressive war initiated by Trump is directly hitting Korean workers and ordinary people.,Security: societal,constraint,0.886,Power: dominance:0.001; Self-direction: action:0.000; Conformity: rules:-0.000; Humility:-0.000; Achievement:-0.000,Security: societal:0.886; Benevolence: caring:0.017; Security: personal:0.016; Universalism: concern:0.013; Benevolence: dependability:0.006,,,,
row086_claim03,2,민주당,46:31,더불어민주당은 지금 현재 국회에서 활동 중인 정개특위에 이 부분과 관련돼서 더 적극적으로 임하도록 하겠습니다.,"The Democratic Party of Korea will now, in the Political Reform Special Committee currently active in the National Assembly, take a more active approach regarding this matter.",Self-direction: action,support,0.907,Self-direction: action:0.907; Self-direction: thought:0.115; Stimulation:0.094; Power: dominance:0.009; Conformity: interpersonal:0.005,Face:-0.000; Security: personal:-0.000; Humility:-0.001; Hedonism:-0.001; Tradition:-0.001,,,,
row083_claim01,2,조국혁신당,43:41,조국 혁신을 비롯한 진보 개혁 4당과 시민사회단체는 정치 개혁 5대 법안의 조속한 상정과 처리를 촉구하며 지금 17일째 천막 농성을 이어가고 있습니다.,"The four progressive reform parties, including the Rebuilding Korea Party, and civil society organizations are continuing a tent sit-in for the 17th day now, urging the prompt introduction and passage of the five major political reform bills.",Self-direction: action,support,0.869,Self-direction: action:0.869; Universalism: concern:0.071; Security: societal:0.062; Self-direction: thought:0.024; Power: dominance:0.020,Face:-0.000; Humility:-0.000; Hedonism:-0.001; Universalism: nature:-0.001; Tradition:-0.001,,,,
