sample_id,language,expected_primary,expected_direction,expected_presence,expected_directional_fit,top_presence,top_signed_support,top_signed_constraint,text
benevolence,EN,BENEVOLENCE,support,0.08690444752573967,0.08183707308489829,"Universalism: concern:+0.960, Humility:+0.500, Benevolence: caring:+0.087","Universalism: concern:+0.784, Benevolence: caring:+0.082, Security: personal:+0.016","Humility:+0.496, Conformity: rules:+0.007, Power: dominance:+0.004","In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
universalism,EN,UNIVERSALISM,support,0.8927617073059082,0.8750742874108255,"Universalism: concern:+0.893, Humility:+0.500, Universalism: nature:+0.465","Universalism: concern:+0.875, Universalism: nature:+0.453, Universalism: tolerance:+0.018","Humility:+0.494, Conformity: rules:+0.003, Power: dominance:+0.000","The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
self_direction,EN,SELF-DIRECTION,support,0.9429414669672649,0.8271387244264286,"Self-direction: action:+0.943, Humility:+0.501, Self-direction: thought:+0.310","Self-direction: action:+0.827, Self-direction: thought:+0.307, Stimulation:+0.152","Humility:+0.497, Achievement:+0.009, Conformity: rules:+0.006",Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
stimulation,EN,STIMULATION,support,0.8068371216456096,0.8011112936461966,"Stimulation:+0.807, Humility:+0.501, Self-direction: action:+0.265","Stimulation:+0.801, Self-direction: action:+0.250, Self-direction: thought:+0.237","Humility:+0.495, Achievement:+0.023, Power: dominance:+0.006",We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
hedonism,EN,HEDONISM,support,0.526977355663593,0.5261097441872177,"Hedonism:+0.527, Humility:+0.500, Stimulation:+0.032","Hedonism:+0.526, Stimulation:+0.031, Universalism: nature:+0.017","Humility:+0.497, Conformity: rules:+0.005, Conformity: interpersonal:+0.002","The public space should also be enjoyable, with music, food, and places where people can relax after work."
achievement,EN,ACHIEVEMENT,support,0.9943310480851393,0.885903836442874,"Achievement:+0.994, Humility:+0.501, Power: resources:+0.042","Achievement:+0.886, Power: resources:+0.034, Conformity: rules:+0.008","Humility:+0.490, Benevolence: caring:+0.001, Power: dominance:+0.001",The project should set measurable targets and reward the teams that deliver the strongest results.
power,EN,POWER,support,0.9916603015019343,0.9454231469486004,"Power: dominance:+0.992, Humility:+0.500, Power: resources:+0.086","Power: dominance:+0.945, Power: resources:+0.078, Conformity: rules:+0.024","Humility:+0.497, Universalism: tolerance:+0.002, Benevolence: caring:+0.002",The city needs clear authority over the process so it can control resources and enforce the final decision.
security,EN,SECURITY,support,0.9701081961393356,0.9639515532180667,"Security: societal:+0.970, Humility:+0.500, Security: personal:+0.188","Security: societal:+0.964, Security: personal:+0.185, Conformity: rules:+0.037","Humility:+0.493, Power: dominance:+0.011, Self-direction: action:+0.001","Before expanding the service, we need strict safeguards so families know their data and safety are protected."
conformity,EN,CONFORMITY,support,0.9796340720994132,0.8191162553571519,"Conformity: rules:+0.980, Humility:+0.500, Conformity: interpersonal:+0.045","Conformity: rules:+0.819, Security: societal:+0.026, Conformity: interpersonal:+0.014","Humility:+0.488, Self-direction: action:+0.037, Power: dominance:+0.008","Participants should follow the agreed rules even when they disagree, otherwise the process will lose legitimacy."
tradition,EN,TRADITION,support,0.9836568747247969,0.950493092515639,"Tradition:+0.984, Humility:+0.500, Self-direction: thought:+0.045","Tradition:+0.950, Self-direction: thought:+0.044, Conformity: rules:+0.021","Humility:+0.497, Hedonism:+0.001, Achievement:+0.001",The redevelopment should preserve the old market rituals and respect the practices that elders kept alive.
anti_security,EN,SECURITY,oppose,0.015167568810284138,0.004093732452020049,"Humility:+0.500, Self-direction: action:+0.118, Conformity: rules:+0.046","Self-direction: action:+0.116, Stimulation:+0.010, Security: personal:+0.004","Humility:+0.498, Conformity: rules:+0.037, Security: societal:+0.004",We should ignore privacy and safety concerns if removing safeguards lets us launch faster.
anti_benevolence,EN,BENEVOLENCE,oppose,0.03073891857638955,0.016407666262239218,"Humility:+0.501, Security: personal:+0.055, Benevolence: caring:+0.031","Security: personal:+0.031, Conformity: interpersonal:+0.018, Self-direction: thought:+0.012","Humility:+0.487, Benevolence: caring:+0.016, Universalism: concern:+0.014",The vulnerable families should handle the disruption themselves; helping them would only slow the project.
anti_tradition,EN,TRADITION,oppose,0.5154833367892674,-0.5034165608563593,"Tradition:+0.515, Humility:+0.500, Self-direction: action:+0.043","Tradition:+0.503, Self-direction: action:+0.035, Self-direction: thought:+0.034","Humility:+0.498, Universalism: nature:+0.003, Benevolence: dependability:+0.001",Old rituals and inherited customs should not influence this decision at all.
anti_conformity,EN,CONFORMITY,oppose,0.5439258217811584,0.29617464542388916,"Conformity: rules:+0.544, Humility:+0.500, Conformity: interpersonal:+0.049","Security: personal:+0.003, Hedonism:+0.002, Security: societal:+0.001","Humility:+0.499, Conformity: rules:+0.296, Conformity: interpersonal:+0.044",People should break the agreed rules whenever the rules make negotiation inconvenient.
neutral_schedule,EN,NONE,neutral,,,"Humility:+0.500, Security: personal:+0.002, Conformity: interpersonal:+0.001","Security: personal:+0.001, Tradition:+0.001, Benevolence: caring:+0.001","Humility:+0.499, Conformity: interpersonal:+0.001, Universalism: tolerance:+0.000",The meeting starts at three o'clock and the agenda has four items.
