sample_id,language,expected_primary,expected_direction,value,attained,constrained,presence,signed_score,text
benevolence,EN,BENEVOLENCE,support,Self-direction: thought,0.002428531151963398,0.00047322828322649,0.002428531151963398,0.001955302868736908,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Self-direction: action,0.0011727396631613374,0.00036443807766772807,0.0011727396631613374,0.0008083015854936093,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Stimulation,0.0013399627059698105,0.0004669514892157167,0.0013399627059698105,0.0008730112167540938,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Hedonism,0.00046773135961432544,0.0012967173825018108,0.0012967173825018108,-0.0008289860228874854,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Achievement,0.00036121533152514275,0.0014682394685223699,0.0014682394685223699,-0.0011070241369972272,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Power: dominance,0.0020088288666946547,0.006174424973626932,0.006174424973626932,-0.004165596106932278,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Power: resources,0.003217431658413261,0.0030816595535725355,0.003217431658413261,0.00013577210484072566,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Face,0.00206071519642137,0.0023451783636119217,0.0023451783636119217,-0.00028446316719055176,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Security: personal,0.0451968889683485,0.028904415667057037,0.0451968889683485,0.016292473301291466,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Security: societal,0.00946368440054357,0.001610876526683569,0.00946368440054357,0.007852807873860002,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Tradition,0.0011683005141094327,0.0007364301127381623,0.0011683005141094327,0.0004318704013712704,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Conformity: rules,0.0004664015917417904,0.0073165493085980415,0.0073165493085980415,-0.0068501477168562514,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Conformity: interpersonal,0.009070642990991473,0.002768765746926268,0.009070642990991473,0.006301877244065205,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Humility,0.003838769916910678,0.5000542697816854,0.5000542697816854,-0.49621549986477476,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Benevolence: caring,0.08690444752573967,0.005067374440841377,0.08690444752573967,0.08183707308489829,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Benevolence: dependability,0.012903742026537657,0.001188291935250163,0.012903742026537657,0.011715450091287494,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Universalism: concern,0.9596621709711411,0.17589915543794632,0.9596621709711411,0.7837630155331948,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Universalism: nature,0.005285833030939102,0.0020370296260807663,0.005285833030939102,0.003248803404858336,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
benevolence,EN,BENEVOLENCE,support,Universalism: tolerance,0.00337792350910604,0.0003556741285137832,0.00337792350910604,0.003022249380592257,"In this budget, we should first protect the residents who will be hurt the most and make sure nobody is left alone."
universalism,EN,UNIVERSALISM,support,Self-direction: thought,0.0033727361005730927,0.0002518241914610068,0.0033727361005730927,0.003120911909112086,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Self-direction: action,0.005809966009110212,0.0005999758723191917,0.005809966009110212,0.005209990136791021,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Stimulation,0.0006251368904486299,0.00012669462012127042,0.0006251368904486299,0.0004984422703273594,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Hedonism,0.0015638331283948253,0.00020345255810146531,0.0015638331283948253,0.00136038057029336,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Achievement,0.0010852576399754202,0.0005734800943173468,0.0010852576399754202,0.0005117775456580733,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Power: dominance,0.0021233276597091132,0.002137385308742523,0.002137385308742523,-1.405764903340996e-05,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Power: resources,0.0027679663617163897,0.00141564616933465,0.0027679663617163897,0.0013523201923817396,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Face,0.0019643457198981196,0.00048101574066095054,0.0019643457198981196,0.001483329979237169,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Security: personal,0.003521768085192889,0.0012842345555933814,0.003521768085192889,0.0022375335295995074,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Security: societal,0.003110601392108947,0.00043866070336662233,0.003110601392108947,0.0026719406887423247,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Tradition,0.0045793503522872925,0.000871469615958631,0.0045793503522872925,0.0037078807363286614,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Conformity: rules,0.005823378451168537,0.009233794019867977,0.009233794019867977,-0.00341041556869944,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Conformity: interpersonal,0.004521064111031592,0.0013469837722368538,0.004521064111031592,0.003174080338794738,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Humility,0.005885862046852708,0.5000684984479449,0.5000684984479449,-0.49418263640109217,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Benevolence: caring,0.004102193051949143,0.0010838832531590015,0.004102193051949143,0.003018309798790142,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Benevolence: dependability,0.004150205058977008,0.0002607346868899185,0.004150205058977008,0.0038894703720870893,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Universalism: concern,0.8927617073059082,0.017687419895082712,0.8927617073059082,0.8750742874108255,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Universalism: nature,0.46454261988401413,0.011067911982536316,0.46454261988401413,0.4534747079014778,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
universalism,EN,UNIVERSALISM,support,Universalism: tolerance,0.021732661873102188,0.004056361212860793,0.021732661873102188,0.017676300660241395,"The policy should treat migrants, disabled citizens, and local residents with equal dignity and protect the environment they share."
self_direction,EN,SELF-DIRECTION,support,Self-direction: thought,0.30997931957244873,0.0026462291134521365,0.30997931957244873,0.3073330904589966,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Self-direction: action,0.9429414669672649,0.11580274254083633,0.9429414669672649,0.8271387244264286,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Stimulation,0.15429717302322388,0.002323227934539318,0.15429717302322388,0.15197394508868456,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Hedonism,0.0013703813809635384,0.002584623289294541,0.002584623289294541,-0.0012142419083310024,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Achievement,0.0005261547214883779,0.00913617666810751,0.00913617666810751,-0.008610021946619131,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Power: dominance,0.0077542948669620925,0.013059251941740513,0.013059251941740513,-0.00530495707477842,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Power: resources,0.004556660715024918,0.0012127563823014498,0.004556660715024918,0.0033439043327234685,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Face,0.005086424644105136,0.0012328667799010873,0.005086424644105136,0.003853557864204049,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Security: personal,0.003420685534365475,0.0035496032796800137,0.0035496032796800137,-0.00012891774531453848,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Security: societal,0.0011907333828276023,0.001334190834313631,0.001334190834313631,-0.00014345745148602873,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Tradition,0.0023076875368133187,0.005329872015863657,0.005329872015863657,-0.0030221844790503383,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Conformity: rules,0.0007656174905908605,0.006480996186534564,0.006480996186534564,-0.005715378695943704,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Conformity: interpersonal,0.0107798189856112,0.007031884354849657,0.0107798189856112,0.0037479346307615433,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Humility,0.0035797286545857787,0.5006497567519546,0.5006497567519546,-0.4970700280973688,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Benevolence: caring,0.004425312702854475,0.008334522135555744,0.008334522135555744,-0.003909209432701269,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Benevolence: dependability,0.0034748914185911417,0.000370071611541789,0.0034748914185911417,0.0031048198070493527,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Universalism: concern,0.01220683955277006,0.0011839640501420945,0.01220683955277006,0.011022875502627965,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Universalism: nature,0.004065153480041772,0.002039975515799597,0.004065153480041772,0.0020251779642421752,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
self_direction,EN,SELF-DIRECTION,support,Universalism: tolerance,0.014878896996378899,0.0022282148711383343,0.014878896996378899,0.012650682125240564,Each neighborhood should be allowed to design its own solution instead of being forced into one central plan.
stimulation,EN,STIMULATION,support,Self-direction: thought,0.23931460455060005,0.0025933612293253345,0.23931460455060005,0.23672124332127473,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Self-direction: action,0.2654770612716675,0.015375528484582901,0.2654770612716675,0.2501015327870846,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Stimulation,0.8068371216456096,0.0057258279994130135,0.8068371216456096,0.8011112936461966,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Hedonism,0.01277711508529527,0.005969714839011431,0.01277711508529527,0.006807400246283839,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Achievement,0.011277080380490849,0.03384259715676308,0.03384259715676308,-0.022565516776272228,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Power: dominance,0.0007314657393310751,0.006373771854365866,0.006373771854365866,-0.00564230611503479,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Power: resources,0.010502671357244253,0.0014835440088063478,0.010502671357244253,0.009019127348437905,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Face,0.008043281268328428,0.001421745982952416,0.008043281268328428,0.006621535285376012,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Security: personal,0.004033413133583963,0.006935895265390476,0.006935895265390476,-0.0029024821318065133,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Security: societal,0.002604477049317211,0.0047443341463804245,0.0047443341463804245,-0.0021398570970632136,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Tradition,0.0020155209737519426,0.0019635248463600874,0.0020155209737519426,5.199612739185521e-05,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Conformity: rules,0.0007230716194802275,0.0015442639899750552,0.0015442639899750552,-0.0008211923704948277,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Conformity: interpersonal,0.006104836938902736,0.00752911592523257,0.00752911592523257,-0.001424278986329834,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Humility,0.005381375667639077,0.5007935838075355,0.5007935838075355,-0.4954122081398964,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Benevolence: caring,0.001236874086316675,0.0018631956481840461,0.0018631956481840461,-0.0006263215618673712,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Benevolence: dependability,0.0009868567576631904,0.00046734163333894685,0.0009868567576631904,0.0005195151243242435,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Universalism: concern,0.0024490533784652753,0.0005263101047603413,0.0024490533784652753,0.001922743273704934,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
stimulation,EN,STIMULATION,support,Universalism: nature,0.004021765198558569,0.0021697452757507563,0.004021765198558569,0.0018520199228078127,We should test a bold pilot program because the current process is too predictable and cannot reveal new opportunities.
